,Document,Treaty Name,Council Start Date,Council End Date,Council City,Council State,Speaker,Position,Native | Non-Native,Tribe or Ethnicity,Text,neg,pos,neu,compound,Negative,Positive,start_year,start_month,start_day,end_year,end_month,end_day
65,1805-06-08.txt,Treaty of 1805-06-08,1805-06-08,1805-06-08,Amherstburg,Ontario,Blackbird,Ottowa Chief of Chicago,Native,Ottawas,"Father — Listen to me, I shall not take up much of your time as I have but a few words to say. Having been bred and born as my Father was before me, in that Country, I think it is our duty to get our Legs with our Brethren. For my own part I am no warrior, but here is my warrior whom I have brought with me (pointing to a War Chief). I succeeded my Father as Village Chief and as it is always our duty to prevent bloodshed and mischief, since I have grown up to manhood, I have constantly made it a point to prevent and stop young men straggling from L'arbre Croche, from spilling Blood, my Village lying In their War path. Delivered eight strings of white wampum.",0.17,0.042,0.788,-0.9688,True,False,1805,6,8,1805,6,8
66,1812-11-06.txt,Treaty of 1812-11-06,1812-11-06,1812-11-06,,,,,Native,,"Brother. The Americans have long threatened to strike us, and in the beginning of the summer they declared war against us, and lately they commenced Hostilities by invading the Country at Queenstown in this contest which with the help of God terminated in our favor your much lamented commander General Brock, his aid de camp Colonel McDonell and several warriors have fallen. Brother. We therefore now seeing you darkened with grief your eyes dim with tears, and your throat stopped with the force of your affliction. With these strings of wampum we wipe away your tears, that you may view clearly the surrounding objects, we clear the passage in your throats that you may have free utterance for your thoughts, and we wipe clear from Blood the place of your abode, that you may sit there in comfort without having renewed the remembrance of your loss by the remaining stains of Blood. 8 strings white wampum. Brother. That the remains of your late beloved friend & Commander General Brock shall receive no injury we cover it with this Belt of Wampum, which we do from the grateful sensations which his friendship towards us continually inspired us with, as also in conformity to the customs of our ancestors & we therefore now express with the unanimous voice of the Chiefs & warriors of our respective Bands the great respect in which we hold his memory & the sorrow & deep regret with which his loss has filled our hearts. Although he has taken his departure for a better abode, where his many virtues will be rewarded by the Great Dispenser of good who has led us on the Road to Victory. A large white Belt.",0.12,0.182,0.698,0.9729,False,True,1812,11,6,1812,11,6
67,1814-10-18.txt,Treaty of 1814-10-18,1814-10-18,1814-10-18,Mackinaw City,Michigan,Waindawgay,,Native,Potawatomi,"Father, I salute you and all these assembled here, I thank the Master of Life for affording me an opportunity of seeing you my English Father which enables me to represent the situation of your children the Potewatemys who have deputed me and my friend Mishpawkissh to represent them. 
 
 Father, I salute you and our Great Father beyond the Great Lakes in the name of your children , the Potewatemys. Father. I am instructed by your children to acquaint you that they were the first of all your Indian children who took up the Tomahawk against the Big Knives. They were amongst the first at Chicago, Detroit. River au Raisin, Defiance and Fort Meigs, even so far back as the Tepikono Battle, where several of them fell fighting under the Shawenese Prophet's Banner is well known to all the World. At the River au Raisin the Potewatemys composed the Right Wing of the Army under the command of General Procter and when of the Enemy under Genl. Winchester made an attempt to out flank our English Father. The Potewatemys rushed upon them and cut those 300 into pieces in consequence of which our English Father gained a signal victory for the remainder of the Enemy’s Army surrendered. It is true that some of the Potewatemyshave taken the Big Knives by the hand, but those people who have done so are men of no influence with the Warriors of our nation,those who have acted so improperly are the Five Medals followers, men of no principles nor bravery, to the Contrary, aset of cowardly fellows who have suffered themselves to be bought over to the Enemy's Interest for a little whiskey.
 
 Father. Your children the Potewatemys of St. Josephs were compelled to take refuge at or about St. Josephs River when it was abandoned by Genl Procter, since that time they have suffered great distress especially last winter and tho they were repeatedly invited by the 5 Medals to go with him to the Big Knives for ammunition, they preferred to suffer rather than treat with those bad people the Big Knives who are the authors of their misery. Father. This last Spring your children sent you paroles requesting you would extend your bounty to them, You was good enough to listen to them & sent Ammunition and some articles of clothing which your children received but Father your children are very numerous, consequently each man's proportion was small. 
 
 Father, Misawgawwe Shawanese and Mishpawkissh War Chiefs thank you in the name of all your children of our nation that remain true and faithful for the supplies you sent to them last Spring and they trust you will continue to relieve them conformable to the promise made them by our Great Father's representative at Detroit at the time your children showed their fidelity & attachment with their Brethren the Chippawas & Ottowas in taking up the Hatchet. 
 
 Father, Our Nation looks to this place for security, you are our Great Father's representative at this Great Fire, and you have been made acquainted with the deplorable situation of your children. They would have followed General Procter when he abandoned Detroit, but they were prevented by the Enemy who cut off their communication. Our powerful men & warriors implore your charitable hand & hope you will assist them with ammunition & clothing — Our women are almost naked and no Traders in that quarter for any article of clothing. St. Josephs & its dependencies will furnish 400 men who are true to you. 
 Father, You sent Paroles to the Kickapoos, and Potewatemys of the plains, to assemble at St. Josephs or near that place, but it cannot be done at present my Father. It is necessary that they should remain at my village near the bottom of the Tiakikee to attack the Big Knives, who understand mean to lay our Country waste and I want your children, the Kickapoos, to remain with us, in order to fight and maintain our independence, and let those evil spirits the Big Knives know that we hold our Lands sacred. Had you wanted your children the Kickapoos to assist you at Mackina I would have accompanied them at the risk of losing all that is dear to us, but as it is only an invitation for them to settle themselves at St. Joseph’s, It is my opinion they are better here, out of the Enemy's Emissaries. After this explanation I hope Father thatyou will not be displeased at my conduct. 
 
 Father, I request that you will send me and my warriors some ammunition & clothing.",0.109,0.132,0.759,0.9452,False,True,1814,10,18,1814,10,18
68,1814-10-18.txt,Treaty of 1814-10-18,1814-10-18,1814-10-18,Mackinaw City,Michigan,Mishpawkissh,,Native,Potawatomi,"Father I sent Paroles to the Miamis, Kickapoos, and Delawares to remove to St. Joseph's agreeable to your desire, and I am now happy to have it in my power to inform you that those nations before mentioned have sent me by a special messenger word that they would remove to this place that the Big Knives were a perfidious nation, that they had repeatedly deceived them, and lately had invited them to a Council at Fort Grenville, holding forth that those who could attend the Treaty would all be clothed, in consequence of which several attended but finding that the Big Knives not inclined to comply with the promises held out In their Emissaries, The Miamis, Kickapoos, & Delawares went away from Greenville. Ruhardville the Pakan, Chief of the Miamis & all his family is on his way to this place the rest are to follow. 
 
 Now Father I request you provide something for these people that arc reclaimed, they will require Ammunition & Clothing. The Kickapoos will be detained by the Bad Sturgeon on the Teakikee.",0.056,0.062,0.882,-0.2263,True,False,1814,10,18,1814,10,18
69,1814-10-28.txt,Treaty of 1814-10-28,1814-10-28,1814-10-28,,,,,Native,Potawatomi,"Father, I salute you and all these assembled here, I thank the Master of Life for affording me an opportunity of seeing you my English Father which enables me to represent the situation of your children the Potewatemys who have deputed me and my friend Mishpawkissh to represent them. Father, I salute you and our Great Father beyond the Great Lake in the name of your children the Potewatemys. Father. I am instructed by your children to acquaint you that they were the first of all your Indian children who took up the Tomahawk against the Big Knives. They were amongst the first at Chicago, Detroit, River au Raisin, Defiance and Fort Meigs, even so far back as the Tepikono Battle, where several of them fell fighting under the Shawenese Prophet’s Banner is well known to all the World. At the River au Raisin the Potewatemys composed the Right Wing of the Army under the command of Genl. Procter and when 300 of the Enemy under Genl. Winchester made an attempt to out flank our English Father the Potewatemys rushed upon them and cut those 300 into pieces in consequence of which our English Father gained a signal victory for the remainder of the Enemy’s Army surrendered. It is true that some of the Potewatemy nation have taken the Big Knives by the hand, but those people who have done so are men of no influence with the Warriors of our Nation, those who have acted so improperly are the Five Medals & his followers, men of no principles nor bravery, but on the contrary a set of cowardly fellows who have suffered themselves to be bought over to the Enemy’s Interest for a little whiskey. Father. Your children the Potewatemys of St Joseph’s were compelled to take refuge at or about St. Josephs River when they were abandoned by Genl Procter, since that time they have suffered great distress especially last winter and tho they were repeatedly invited by the 5 Medals to go with him to the Big Knives for ammunition, they preferred to suffer rather than treat with those bad people the Big Knives who are the authors of their misery. Father. This last Spring your children sent you paroles request ing you would extend your bounty to them, You was good enough to listen to them & sent Ammunition and some articles of clothing which your children received but Father your children are very numerous, consequently each man’s proportion was small. Father, Misawgawe Shaywaynesee and Miskinaysway War Chiefs thank you in the name of all your children of our nation that remain true and faithful for the supplies you sent to them last Spring and they trust you will continue to relieve them conformable to the promise made them by our Great Father’s representative at Detroit at the time your children showed their fidelity & attachment with their Brethren the Ohippawas & Ottawas in taking up the Hatchet. Father. Our Nation look to this place for succour, you are our Great Father’s representative at this Great Fire, and you have been made acquainted with the deplorable situation of your, children. They would have followed General Procter when he abandoned Detroit, but they were prevented by the Enemy who cut off their communication. Our powerful men & warriors implore your charitable hand & hope you will assist them with ammunition & clothing Our women are almost naked and no Traders in that quarter to afford any article of clothing. St. Josephs & its depens Michigan will furnish 400 men who are true to you. Speech delivered by the same Person on behalf of Neshkagenay main or Bad Sturgeon a Potewatemy. Father, You sent Paroles to the Kickapoos, and Potewatemy‘s of the plains, to assemble at St. Josephs or near that place, but it cannot be done at present my Father. Slfs into the necessary that they should remain at my village near ieagneB S qf bottom of the Tiakikee to attack the Big Knives, who ian Mlchl I understand mean to lay our Country waste and. 1 want your children the Kickapoos to remain with us, in order to fight and maintain our independence, and let those evil spirits the Big Knives' know that we hold our Lands sacred. Had you wanted your children the Kickapoos to assist you at Mackina 1 would have accompanied them at the risk of losing all that is dear to us, but as it is only an invitation for them to settle themselves at St. Joseph’s It is my opinion they are better here, out of reach of the Enemy’s Emissaries. After this explanation I hope Father you will not be displeased at my conduct. Father, I request that you will send me and my warriors some ammunition & clothing. Speech 'delivered by Mishpawkissh in behalf of Ohebainse a Pottewatemy Chief who fought the Enemy at this place the 4th of August last. Father T sent Paroles to the Miamis, Kickapoos, and Delawares to remove to St. Joseph’s agreeable to your desire, and I am now happy to have it in my power to inform you that those nations before mentioned have sent me by a special messenger word that they would remove to this place that the Big Knives were a perfidious nation, that they had repeatedly deceived them, and lately had invited them to a Council at Fort Grenville, holding forth that those who could attend the Treaty would all be clothed, in consequence of which several attended but finding that the Big Knives not inclined to comply with the promises held out by their Emissaries, The Miamis, Kickapoos, & Delawares went away from Grenville. Ruhardville the Pakan Chief of the Miamis & all his family is on his way to this place the rest are to follow. Now My Father I request you provide something for these people that are reclaimed, they will require Ammunition & Clothing. The Kickapoos will be detained by the Bad Sturgeon on the Teakikee. Present at the Council Mishenahnahquit Taytaypendebay Naytokeman Manitoukequk Queen of Sheba & her sister Chip a Chiefs of Saguma accompanied by 30 of their Warriors",0.104,0.116,0.78,0.7856,False,True,1814,10,28,1814,10,28
70,1778-06-29.txt,Treaty of 1778-06-29,1778-06-29,1778-06-29,Detroit,Michigan,Mahinamba,Villiage Chief of the Kickapoo,Native,Kickapoo,"Father! You see here a pipe that came from your hands, it has been round the Nations on the Ouabash, and the Illinois and has had the effect you said it would have when we smoaked out of it; we felt our hearts an minds at ease. The person whom you sent with this pipe, told us, that after it had been round the Villages in our neighborhood, it should return from whence it came, for which reason we present it to you. A Pipe. ",0.0,0.033,0.967,0.4199,False,True,1778,6,29,1778,6,29
71,1778-09-27.txt,Treaty of 1778-09-27,1778-09-27,1778-09-27,Detroit ,Michigan,,Chief of the Piankeshaw,Native,Piankeshaw,"You other Miamis and all the people of the Wabash, I leave you masters of these words of the Chickasaws. I only tell you that we join ourselves to them and that we would have already struck the Virginians, but we waited your reply. It is our feeling that they should be sent home & not to let them pass. The Loups, the Illinois and the Ottawas think as we do. End of the speech by four branches of black porcelain.",0.033,0.042,0.926,0.1901,False,True,1778,9,27,1778,9,27
72,1778-09-27.txt,Treaty of 1778-09-27,1778-09-27,1778-09-27,Detroit ,Michigan,,Chickasaws,Native,Chickasaws,"My beloved brothers ! We have long desired to see you, but the Virginians have occupied us, & we know that they intend to go to you. We pray you not to receive them but tell them to withdraw from your lands, &c. If you would defend yourselves we will help you. We are worthy of pity, we are not in the enjoyment of an inch of ground for hunting, and if you give them your hand you will be also like us obliged to work the land for a living. We tell you in the name of all the nations our neighbors, You know that for a long time we have worked, that all the brown skins should act as a single man to preserve our lands. We have made peace with all the nations; you are the only ones who will be deaf, you see now, however, that we only work for a good thing. We hope my brothers that you will listen to us.",0.035,0.181,0.784,0.9811,False,True,1778,9,27,1778,9,27
73,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Brethren, I take you by the hand and heartily bid you all welcome to this place where I have kindled a Council Fire for affairs of importance. The Governor of New Jersey and the Commanders of Virginia & Pennsylvania do likewise welcome you here. Lieutenant Governor Penn came hither to meet you & waited a considerable time, but was at length by business obliged to return home, leaving these Gentlemen as Commanders on behalf of Pennsylvania. Both the Governor & Gentlemen Commanders as well as myself, having waited here a month to no purpose began to be impatient never the less you see that their desire to meet you prevailed over every other consideration and induced them to stay. I hope therefore that you are now come fully prepared and with Hearts well inclined to the great business for which we are convened, and in order to prepare you the better for these purposes, I do now, agreeable to the ancient custom established by our Forefathers, proceed to the ceremony of Condolence usual on these occasions. And first: With this String of Wampum. I do, on behalf of His Majesty & all His subjects wipe away the Tears from your eyes which you are constantly shedding for your late deceased Chiefs, and I clear your sight that so you may look cheerfully at your Brethren, who are come from Several of the Provinces to attend this General Congress ordered by His Majesty to be held by me; in order to settle some necessary points between him & you. With this String I clear the Passage to your Hearts that you may speak cheerfully and candidly on the several subjects which, during this Congress, will be treated of, as well as to remove all sorrow & uneasiness from you. With this last string I wipe away the blood of your friends from off your Births, that you may on your return rest with Peace and comfort on them. Gave the 3 Strings. Brethren, I am greatly concerned for the many losses you have sustained in your several Nations since our last meeting & sincerely condole with you for them all. A Belt. Brethren, With this Belt, I light up anew your several Council Fires, that the Chiefs still remaining may upon all occasions sit comfortably by them and consult on the several matters, which may come before them.  A Belt. Brethren, As I have by the former Belt kindled up your several Council Fires, I do now by this Belt desire, that you the Councillors will duly assemble, when the affairs of your nations require it, & then jealously apply yourselves to every measure which may tend to your Peace and Interest. A Belt. Brethren, With this Belt I dispel the darkness which for some time past hath overspread your several Countries, by reason of your many & great Losses, and now heartily wish you may enjoy a serene clear sky, so that you may be able to see your Brethren from the Sun rising to the Sun setting. A Belt. Brethren, As I would deal with all people in their own way, and that your Ancestors have from the earliest time directed and recommended the observation of a Set of Rules which they laid down for you to follow, I do now, agreeable to that custom, take of the clearest water and therewith cleanse your inside from all Filth and every thing which has given you concern. A Belt. Brethren, I must desire that you Sachems & Councillors will, as occasions may require consult with the Cheiftains of your young men, as they are in general men of sense and experience; and you cheiftains and Warriors to pay a due regard to your Sachems and Councillors whose sage advice will seldom or never be amiss. A Belt. Brethren, In performing these ceremonies I can not omit this necessary part, which is, that as there are but two Council Fires for your confederacy, the one at my house and the other at Onondaga, I must desire that you will always be ready to attend either of them, when called upon, by which means business will I hope, always be attended & properly carried on for our mutual Interest, and this I earnestly recommend to you all. A Belt. Brethren, I must also advise you to be unanimous amongst yourselves & reside in your respective Countries, and not think of scattering or settling amongst other Nations, as has been too much the Practice for some years past, to the great weakening of your confederacy. A Belt. Brethren, I give you a Pouch with a String of Wampum in it, which you are to make use of when you hear of the loss of any of the Confederacy, and rise up on such occasions without delay in order to condole for the same, and remove the concern thereby occasioned. 3 Strings of Wampum. Brethren, I now supply you with a torch or candle which you are to travel with by night upon any extraordinary emergency, such as the approach of an enemy, in order to communicate the News with the utmost despatch. 3 Strings. The Nations gave the Yo-hah at the proper places, and the ceremony of Condolence. Adjourned till next day.",0.049,0.153,0.798,0.9986,False,True,1768,10,24,1768,11,5
74,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Brethren, We have now mutually performed the Ceremony of Condolence as a proof of the regard we have for the Customs of our Ancestors & of the concern we feel for each others' losses, I think it highly necessary in the next place that we farther strengthen the Union between us and with that view I do therefore by this Belt in the name of your Father the great King of England, in behalf of all his American Subjects renew & confirm the Covenant Chain subsisting between us, strengthening it, and rubbing off any rust which it may have contracted that it may appear bright to all Nations as a proof of our love and Friendship, & I hope that all of you, sensible of the advantages of this union, will after the example of the English have it always before you, & keep it fast that it may remain firm and unshaken, so long as Grass shall grow or waters run. Belt of the Covenant Chain: 15 Rows with human figures at each end. Brethren, I persuade myself that you are all sensible of the Benefits which result from our strict Union, & that having it always before your eyes, you will be careful in preserving it. This will protect you from all dangers, & secure to you the blessings of Peace, and the advantages of Commerce with a people able to supply all your wants. And as this is a consideration of much importance, which depends on the friendship subsisting between us & a free open and safe Communication for all our people to you, I do now by this Belt clear the Rivers & Paths throughout our respective countries, of all obstructions removing Trees out of our Creeks & Logs, Briars & Rubbish out of our Roads, that our Canoes may pass along without danger and that our people may travel freely & securely by night or by day without any risk or impediment whatsoever — And I recommend it to you all to contribute to this good work, & to assist in keeping it free and open to the latest Posterity. A Large Belt. Brethren, Hearken to me who have good words to speak to you, such as are for the benefit of your whole confederacy and of your children yet unborn. You all remember that three years ago I signified to you His Majesty’s desire to establish a Boundary Line between his people and yours and that we then agreed together how some part of that Line should run, whenever, the same came to be settled. You all, I am hopeful, recollect the Reasons I then gave you for making such a Boundary never the less I shall again repeat them. You know Brethren that the encroachments upon your Lands have been always one of your principal subjects of complaint, and that so far as it could be done endeavors have not been wanting for your obtaining Redress. But it was a difficult Task, and generally unsuccessful for although the Provinces have bounds between each other, there are no certain Bounds between them & you, And thereby not only several of our people ignorant in Indian Affairs have advanced too far into your country, but also many of your own people through the want of such a Line have been deceived in the Sales they have made or in the limits they have set to our respective claims. This, Brethren, is a sad Case, which has frequently given us much trouble, and turned many of your heads; but it is likely to continue so until some Bounds are agreed to, fixed upon and made public between us. The Great the good King of England my master, whose friendship and tender regard for your Interests I wish you may ever hold in remembrance has amongst other Instances of his Goodness after long deliberation on some means for your relief, and for preventing future disputes concerning Lands, at length resolved upon fixing a general Boundary Line between his subjects and you, and that in such a manner as shall be most agreeable to you, in consequence of which I have received his Royal commands to call you together for the establishment thereof, and after conferring with the Governments interested hereupon, you now see before you the Governor of the Jerseys, the Commissioners on behalf of Aseregoa, Governor of Virginia & Commissioners from Pennsylvania in order to give you the strongest assurances on behalf of the respective Governments of their Resolutions to pay due regard to what shall be now entered into, the presence of so many great men will give a sanction to the transaction and cause the same to be known as far as the English Name extends — His Majesty has directed me to give you a handsome proof of his Generosity proportioned to the nature and extent of what Lands shall fall to him — Upon the whole I hope that your deliberations will be unanimous & your Resolutions such as His Majesty may consider as proofs of your gratitude for all his favors — A fine New Belt. The Importance of this affair now before us requires the most serious attention. I will not burthen you with any other subject until this is generally settled, and therefore we shall adjourn, that you may have time to think of it and come fully prepared to give an agreeable answer.",0.036,0.164,0.8,0.9987,False,True,1768,10,24,1768,11,5
75,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Brothers, I have attended to what you say and do admit that it is reasonable the Line should be closed, & I persuade myself that His Majesty will approve of it. All these things I had in consideration before, & I recommended the Line to you generally at first according to your own practice as an Introduction to the rest and in order to render the whole clear & plain to you, I have prepared a Map on which the Country is drawn large & plain which will enable us both to judge better of these matters. I would therefore recommend it to you to send the chiefs of each Nation to my Quarters where I shall lay the Map before them & confer with them upon it. Sir William laid a Map on the Table & after explaining to them the nature of his orders & the desires of Government he spoke as follows: Brothers, Here is the Map of which I spoke to you, where all that Country which is the subject of our meeting is faithfully laid down. The Line here described between the Kanhawa River & Oswego was what we spoke about — The King has not fixed upon any particular place to continue it to. It therefore remains for me to obtain a continuation of that Line which will be secure to you and advantageous to us on which subject we now meet — I have likewise to observe to you that the piece of Land in the Forks of Susquehanna is very much desired by the Commissioners from Pennsylvania and would be more advantageous to them than to you, besides as it is or will be soon partly surrounded by Settlements it will be a very difficult matter to get any people to go far to the Northward, & leave such Land as it were behind them — I would therefore propose, the Bounds from Fort Pitt be continued up to the Ohio to Moghulbughilum Creek, Thence up that Creek & along the eight mile Carrying Place to the West Branch of Susquehanna thence along that River to the Allegany Ridge. Thence along that Ridge of Mountains to the Cayuga Branch & down the same to the Great East Branch of Susquehanna, from thence up that East Branch to Oswegy, from whence it can be run Eastward to the Delaware River, which is very near it at that Place and for that part of this additional Cession which will fall to Mr Penn, you will receive a large & handsome consideration over and besides His Majesty Royal Bounty And as to the continuation of that Line from the Delaware so as to close it, I must desire to hear what yourselves think & I expect that your Resolutions will be advantageous to us, & that you will make proper allowance for the increase of our People whereby you will recommend yourselves to the King, and become so pleasing to his subjects that it will greatly contribute to the due observance of the Boundary Line.",0.008,0.099,0.893,0.9907,False,True,1768,10,24,1768,11,5
76,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Brothers, We have heard what you said and shall answer it. In the first place I acknowledge to have heard of your claim to the Southward before this time The King does not deny your claims He is not thoroughly acquainted with the exact extent of them and finding that they may be liable to some dispute with the Southern Indians, he being an enemy to strife directed the Line to be run in the manner he thought least liable to it. But of this I shall take further notice to you having no[w] to speak to you in answer to the course you have proposed for continuing the Line from Delaware. Brothers, I know very well how you are situated and it is not His Majesty’s inclination to disturb you therein, at the same time you should consider what is reasonable on your parts and that the Lands are even patented further than you propose the Line, and that the more people are confined the more readily will the transgress the bounds so that I must desire you to think the better of it and speak more favorably at our next meeting, till when I shall propose nothing further, as I could not consistently propose any other Line than such as would bring us to or near Lake Ontario. ... he was really become very impatient through the delays which was given to business, that the security of their Lands depended upon their dispatch and the freedom of the Cession — That he would however wait till Monday, when he hoped to hear from them some thing that might make up for their delays. ",0.038,0.096,0.865,0.9599,False,True,1768,10,24,1768,11,5
77,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"But Sir William finding that some busy persons had been alarming those Nations most immediately affected by the Line, and that many others could be induced to settle it more advantageously he in a long and warm speech to the Chiefs showed them that the Line was not proposed to injure them, but that for a handsome consideration it was intended to obtain a Cession of as much Land as would give the people Room on the Frontiers asserting the Boundary at the same time between them — that with the help of proper Laws it would not be liable to intrusion — that the Line proposed at Oriscany interfered with a patent granted above sixty years ago now in possession of some Gentlemen at New York, the Indian Deed for which, he had before shown them. That these Gentlemen and all others concerned would have reason to blame him for agreeing to lines so injurious to their Rights, and that the continuance of a line from thence in the manner that they proposed would in many places approach so near to our settlements, as to render its duration very uncertain from the great increase of our people, whereas by giving them more room, the Boundary would be so well known, and secured by Laws before there would be occasion to invade it, that people would act with extreme caution and rather go to other unsettled parts than attempt to transgress an agreement so well defended — That it had been long in agitation and was now according to their own desires ordered by His Majesty to be settled, as the surest means of putting an end to Land Disputes, and that if they rejected this opportunity now offered them and drew the Line so as to interfere with Grants, or approach almost to our settlements, he could not see that any thing more effectual could thereafter be proposed for preventing encroachments, and the Crown after being already at a very heavy expense on this occasion must find its good intentions and reasonable proposals totally defeated. He therefore recommended it to them to consider this point farther, and as his Majesty’s Bounty, or that of the Colonies would be proportioned to the extent of their Cession, a rule which he should observe upon this occasion — That he hoped for a more favorable Answer as it would be more to their immediate advantage and would tend to the better observance of the Line hereafter. After these and many other arguments, & farther explaining the several courses laid down on the draft, they agreed to take the Map back to their Council Hut for farther consideration, promising to use their Interest with the rest for a more favorable Line then withdrew. Sir William assuring them at parting that they should be particularly rewarded for their services or endeavours to show the Indians the reasonableness of the requisition.",0.057,0.177,0.766,0.9971,False,True,1768,10,24,1768,11,5
78,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Sir William thanked them for the Amendments but told them that he could not think it would answer, that it did not even include the carrying place, and therefore desired them again to consider the matter and that as they could extend it much farther to the westward without any sensible inconvenience, he expected they would do so, for which their Nation, over and besides the rest should have five hundred Dollars & a handsome present for each of the chiefs.",0.0,0.168,0.832,0.9147,False,True,1768,10,24,1768,11,5
79,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Sir William answered that he thought it somewhat extraordinary that they should enter into such a Resolution on the sudden having totally neglected carrying goods for so many years — That if they gave it up they might still reap benefits from a high road open to all provided they had horses & Carriages as reasonable as other people, but that their keeping it to themselves would occasion many disputes between them and the white people, which His Majesty was so very desirous of preventing and had fallen upon the Boundary as the means of doing so. That they should not stop at what was but a Trifle to them, tho' so advantageous & necessary to the English and that he wished they would so act as to show their love and respect for the King & friendship for his Subjects — That the Governor and People of New York had reason to expect much more from them and that they had left it to him to urge these matters to them as thinking Commissioners unnecessary when he was to conduct the Congress. He hoped that this would be a farther consideration and desired them to act a part proper on the Occasion.",0.044,0.15,0.806,0.9764,False,True,1768,10,24,1768,11,5
80,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"Sir William then thanked them for what they had said, and assured them that it should all be considered, and that he would meet them tomorrow on these and other subjects. Then adjourned.",0.0,0.148,0.852,0.6597,False,True,1768,10,24,1768,11,5
81,1768.txt,Treaty of Fort Stanwix,1768-10-24,1768-11-05,Rome,NY,William Johnson,Superintendent of Indian Affairs,Non-Native,British,"met the Mohawks and other chiefs and endeavoured to persuade them to extend the Line more favorably to the West of New York observed that they could not agree to extend it further down the Wood Creek on the South side that he expected they would let it run below the Canada Creek, on the North side of Wood Creek, but finding them determined and that they were for closing it at the point of the last purchase near the Mohawk River, he told them he would stop at the Mouth of Canada Creek & refer the remainder to His Majesty consideration. Sir William then acquainted the Chiefs that his Excellency the Commander in chief proposed to evacuate Fort Ontario, or to put it on the same footing with Fort Stanwix, as a measure that would be agreeable to them, and that as for any forts, which it was necessary still to keep up, they could be no inconvenience to them. They answered that they had nothing to complain of against the keeping up Ontario, on the footing it was for some time past nor would they make any difficulty about the others whilst they were civilly treated at them, and no encroachments made on their Lands which Sir William promised should be duly attended to.",0.068,0.093,0.839,0.701,False,True,1768,10,24,1768,11,5
